trip_id,duration,,
190448293,14,,
190448289,9,,
190448290,38,,
190448291,1,,
190448285,24,,
190448286,5,,
190448287,3,,
190448288,6,,
190448281,42,,
190448282,37,,
190448283,21,,
190448284,23,,
190448280,21,,
190519115,183,,
190448278,12,,
190448279,9,,
190666166,581,,
190448277,9,,
190448273,8,,
190448274,12,,
190448275,3,,
190448276,9,,
190495259,131,,
190448271,5,,
190448272,9,,
190448265,8,,
190448266,11,,
190448268,12,,
190448269,12,,
190448270,8,,
190448264,6,,
190448263,21,,
190448260,12,,
190448261,14,,
190448262,9,,
190448253,25,,
190448254,8,,
190448255,32,,
190448256,1,,
190448257,7,,
190448258,3,,
190448259,32,,
190495236,116,,
190448250,5,,
190448251,9,,
190448252,28,,
190448246,31,,
190448247,30,,
190448248,27,,
190448249,9,,
190471613,54,,
190448243,21,,
190448244,26,,
190448245,12,,
190471607,39,,
190471611,43,,
190448238,7,,
190448239,19,,
190448240,8,,
190448241,8,,
190448242,9,,
190448236,8,,
190448237,20,,
190448233,29,,
190448234,34,,
190448235,18,,
190448232,25,,
190471596,39,,
190448227,24,,
190448228,7,,
190448229,6,,
190448230,17,,
190448231,10,,
190471594,38,,
190448223,21,,
190448224,5,,
190448225,8,,
190448226,16,,
190471584,37,,
190448217,20,,
190448218,30,,
190448219,13,,
190448220,24,,
190448221,30,,
190448222,6,,
190471580,44,,
190448213,19,,
190448214,23,,
190448215,12,,
190448216,3,,
190448210,4,,
190448211,6,,
190448212,5,,
190448208,14,,
190448209,13,,
190448205,20,,
190448206,1,,
190448207,10,,
190448203,10,,
190471561,28,,
190471562,56,,
190448202,13,,
190448200,17,,
190471558,28,,
190448195,9,,
190448196,10,,
190448197,11,,
190448198,16,,
190448199,16,,
190471553,27,,
190519019,150,,
190471550,49,,
190448190,8,,
190448191,3,,
190448192,8,,
190448193,7,,
190448194,9,,
190471543,38,,
190471548,42,,
190448188,9,,
190448189,16,,
190471539,21,,
190471541,35,,
190471542,51,,
190495155,109,,
190519002,147,,
190448185,17,,
190448186,19,,
190448187,16,,
190471534,35,,
190448182,15,,
190448183,5,,
190448184,3,,
190448179,15,,
190448180,10,,
